Wall time,Step,Value
1662481580.9281096,2048,180.70367431640625
1662481582.8132696,4096,207.88392639160156
1662481584.6592371,6144,212.3415985107422
1662481586.444161,8192,205.97396850585938
1662481588.2127295,10240,204.30184936523438
1662481589.947601,12288,223.42340087890625
1662481591.676242,14336,245.06735229492188
1662481593.4289725,16384,252.64663696289062
1662481595.1616158,18432,330.9116516113281
1662481596.9201257,20480,457.8519592285156
1662481598.6700346,22528,585.8618774414062
1662481600.4526155,24576,720.563232421875
1662481602.1894174,26624,814.0765380859375
1662481603.9287665,28672,895.8238525390625
1662481605.6496613,30720,966.3661499023438
1662481607.4227457,32768,1026.7955322265625
1662481609.1738815,34816,1080.9234619140625
1662481610.921362,36864,1124.0233154296875
1662481612.6615553,38912,1167.312255859375
1662481614.4102867,40960,1205.2579345703125
1662481616.1400664,43008,1239.459716796875
1662481617.9499247,45056,1271.4576416015625
1662481619.7240026,47104,1307.5694580078125
1662481621.4974437,49152,1333.0670166015625
1662481623.2523556,51200,1381.3074951171875
1662481624.97382,53248,1452.2794189453125
1662481626.7039092,55296,1520.5394287109375
1662481628.4647322,57344,1591.2557373046875
1662481630.179733,59392,1661.8177490234375
1662481631.9183462,61440,1731.2926025390625
1662481633.6870332,63488,1796.9508056640625
1662481635.409165,65536,1860.898193359375
1662481637.1459997,67584,1921.0103759765625
1662481638.9767785,69632,1944.59814453125
1662481640.7532015,71680,1952.8751220703125
1662481642.5349705,73728,1955.2490234375
1662481644.369199,75776,1957.4293212890625
1662481646.1501496,77824,1957.776611328125
1662481647.9788687,79872,1957.1263427734375
1662481649.8024511,81920,1956.6954345703125
1662481651.5837111,83968,1956.1549072265625
1662481653.338593,86016,1956.7843017578125
1662481655.1064658,88064,1957.859619140625
1662481656.9040518,90112,1957.4739990234375
1662481658.6679845,92160,1959.1685791015625
1662481660.4550884,94208,1959.2989501953125
1662481662.247294,96256,1959.807861328125
1662481663.9794612,98304,1961.2943115234375
1662481665.705691,100352,1962.109375
