Wall time,Step,Value
1662481407.9562278,2048,186.12559509277344
1662481410.0163977,4096,195.53054809570312
1662481411.9688275,6144,194.21107482910156
1662481413.7597907,8192,207.30772399902344
1662481415.6451054,10240,206.0231170654297
1662481417.5027518,12288,215.22288513183594
1662481419.296393,14336,221.1856231689453
1662481421.1077101,16384,224.9122772216797
1662481422.8457787,18432,229.064697265625
1662481424.6040008,20480,242.9941864013672
1662481426.3639188,22528,255.07675170898438
1662481428.115587,24576,282.83502197265625
1662481429.8711863,26624,317.7816467285156
1662481431.7041497,28672,370.0863952636719
1662481433.5165076,30720,437.503173828125
1662481435.3662612,32768,512.4417724609375
1662481437.1050637,34816,580.2476196289062
1662481438.8423061,36864,646.5481567382812
1662481440.5851338,38912,711.5444946289062
1662481442.3621325,40960,772.956787109375
1662481444.1097593,43008,828.678955078125
1662481445.921224,45056,879.1309814453125
1662481447.65624,47104,937.2555541992188
1662481449.400942,49152,980.3580322265625
1662481451.1599936,51200,1035.6602783203125
1662481452.915448,53248,1108.45654296875
1662481454.6638935,55296,1177.462646484375
1662481456.4169486,57344,1247.8287353515625
1662481458.1624386,59392,1318.3917236328125
1662481459.9089923,61440,1388.6007080078125
1662481461.6950796,63488,1456.2913818359375
1662481463.4390783,65536,1528.014892578125
1662481465.2091255,67584,1594.6907958984375
1662481466.965388,69632,1661.579833984375
1662481468.6977131,71680,1742.4736328125
1662481470.4614456,73728,1805.1536865234375
1662481472.2212834,75776,1855.0625
1662481473.984114,77824,1897.6890869140625
1662481475.7312555,79872,1930.55224609375
1662481477.4973116,81920,1946.20556640625
1662481479.2341225,83968,1958.2081298828125
1662481480.9895887,86016,1969.45166015625
1662481482.7396638,88064,1975.630126953125
1662481484.4831467,90112,1977.1717529296875
1662481486.2137291,92160,1978.47412109375
1662481487.9472575,94208,1980.1112060546875
1662481489.6754274,96256,1980.411376953125
1662481491.4355516,98304,1980.6654052734375
1662481493.179626,100352,1980.5859375
