Wall time,Step,Value
1662481494.9965982,2048,215.96946716308594
1662481496.9367616,4096,191.00543212890625
1662481498.7230484,6144,190.5293426513672
1662481500.4927156,8192,190.28355407714844
1662481502.2558596,10240,194.14364624023438
1662481504.0379138,12288,201.5667724609375
1662481505.7858715,14336,196.9633331298828
1662481507.5110202,16384,204.84494018554688
1662481509.2360332,18432,216.6370086669922
1662481510.967963,20480,230.16082763671875
1662481512.7536814,22528,238.50062561035156
1662481514.5214362,24576,262.0575256347656
1662481516.2389667,26624,297.18780517578125
1662481518.000089,28672,353.78546142578125
1662481519.7157173,30720,419.7520446777344
1662481521.4705398,32768,494.1441650390625
1662481523.2121162,34816,578.1536254882812
1662481525.0041418,36864,652.0466918945312
1662481526.7560654,38912,720.83203125
1662481528.4949324,40960,780.5396728515625
1662481530.2144353,43008,834.44384765625
1662481531.9594264,45056,881.8948364257812
1662481533.6912978,47104,939.0651245117188
1662481535.4494126,49152,981.2787475585938
1662481537.1988628,51200,1035.018310546875
1662481538.93,53248,1106.13037109375
1662481540.6663833,55296,1177.9237060546875
1662481542.4377794,57344,1248.82275390625
1662481544.1946433,59392,1318.6700439453125
1662481545.9694486,61440,1386.31201171875
1662481547.7025712,63488,1450.636962890625
1662481549.461338,65536,1518.97021484375
1662481551.193446,67584,1582.3819580078125
1662481552.924734,69632,1645.7333984375
1662481554.6878917,71680,1720.1015625
1662481556.4235618,73728,1776.0152587890625
1662481558.179611,75776,1827.51953125
1662481559.9004283,77824,1869.25732421875
1662481561.6357584,79872,1893.38232421875
1662481563.3673089,81920,1912.165283203125
1662481565.1380877,83968,1921.361572265625
1662481566.8958352,86016,1922.881103515625
1662481568.6434765,88064,1922.809326171875
1662481570.4029145,90112,1923.3900146484375
1662481572.1824634,92160,1924.8375244140625
1662481573.9406376,94208,1928.6910400390625
1662481575.6826978,96256,1930.5858154296875
1662481577.423383,98304,1930.0269775390625
1662481579.1455836,100352,1931.1585693359375
